feature,importance
vib_car4_sideII_power_250_500_mean,5.098293e-05
vib_car1_total_power_mean_I_minus_II,4.8265618e-05
vib_inv_std_mean_car_diff_median,3.6314912e-05
vib_inv_rms_mean_bottom2_cars_ratio_mean,3.482566e-05
vib_sideI_relative_power_3500_4000_std,3.464328e-05
vib_sideI_crest_factor_max,3.163701e-05
vib_car2_total_power_max_I_minus_II,2.7333603e-05
vib_car7_power_750_1000_mean_I_minus_II,2.7052802e-05
shock_sideII_power_500_750_std,2.3214436e-05
vib_car7_sideI_power_750_1000_mean,2.1313048e-05
vib_car1_sideII_power_250_500_mean,1.931887e-05
vib_car4_total_power_mean_I_div_II,1.258229e-05
vib_car8_sideII_spectral_centroid_max,1.10831625e-05
shock_sideI_power_0_250_max,3.4512755e-06
shock_sideII_relative_power_250_500_std,3.4064315e-06
vib_inv_power_0_250_mean_car_diff_max,1.2518173e-06
shock_sideII_power_1000_1500_mean,1.190753e-06
vib_car1_sideII_spectral_centroid_max,0.0
vib_car1_sideII_power_750_1000_max,0.0
vib_car1_sideII_power_750_1000_mean,0.0
vib_car1_sideII_power_500_750_max,0.0
vib_car1_sideII_power_500_750_mean,0.0
vib_car1_sideII_power_250_500_max,0.0
vib_car1_sideII_total_power_max,0.0
vib_car1_sideII_total_power_mean,0.0
shock_sideII_relative_power_4500_5000_max,0.0
shock_sideII_relative_power_4500_5000_mean,0.0
shock_sideII_relative_power_4000_4500_std,0.0
shock_sideII_relative_power_4000_4500_max,0.0
shock_sideII_relative_power_4000_4500_mean,0.0
shock_sideII_power_4000_4500_std,0.0
shock_sideII_relative_power_3500_4000_std,0.0
vib_car2_sideII_std_mean,0.0
vib_car2_sideII_rms_mean,0.0
vib_car2_sideI_spectral_centroid_max,0.0
vib_car2_sideI_power_750_1000_max,0.0
vib_car2_sideI_power_500_750_max,0.0
vib_car2_sideI_power_500_750_mean,0.0
vib_car2_sideI_power_250_500_max,0.0
vib_car2_sideI_power_0_250_max,0.0
vib_car3_sideI_std_mean,0.0
vib_car3_sideI_rms_mean,0.0
vib_car2_sideII_power_500_750_max,0.0
vib_car2_sideII_power_500_750_mean,0.0
vib_car2_sideII_power_250_500_mean,0.0
vib_car2_sideII_power_0_250_max,0.0
vib_car2_sideII_power_0_250_mean,0.0
vib_car2_sideII_total_power_max,0.0
vib_car2_sideII_total_power_mean,0.0
vib_car2_sideII_std_max,0.0
vib_car1_sideI_rms_max,0.0
vib_car1_sideI_rms_mean,0.0
shock_sideII_relative_power_4500_5000_std,0.0
vib_car3_sideII_power_0_250_mean,0.0
vib_car3_sideII_total_power_max,0.0
vib_car3_sideII_total_power_mean,0.0
vib_car3_sideII_std_max,0.0
vib_car3_sideII_std_mean,0.0
vib_car3_sideII_rms_max,0.0
vib_car3_sideII_rms_mean,0.0
vib_car3_sideI_spectral_centroid_mean,0.0
vib_car3_sideI_power_750_1000_mean,0.0
vib_car3_sideI_power_500_750_max,0.0
vib_car3_sideI_power_500_750_mean,0.0
vib_car3_sideI_power_250_500_max,0.0
vib_car3_sideI_power_250_500_mean,0.0
vib_car3_sideI_power_0_250_max,0.0
vib_car3_sideI_power_0_250_mean,0.0
shock_sideII_relative_power_3500_4000_max,0.0
shock_sideII_relative_power_3500_4000_mean,0.0
shock_sideII_relative_power_3000_3500_std,0.0
shock_sideII_relative_power_3000_3500_max,0.0
shock_sideII_relative_power_3000_3500_mean,0.0
shock_sideII_relative_power_2500_3000_std,0.0
shock_sideII_relative_power_2500_3000_max,0.0
shock_sideII_relative_power_2500_3000_mean,0.0
shock_sideII_power_2500_3000_std,0.0
vib_car4_sideI_std_mean,0.0
vib_car4_sideI_rms_max,0.0
vib_car4_sideI_rms_mean,0.0
vib_car3_sideII_power_750_1000_max,0.0
vib_car3_sideII_power_750_1000_mean,0.0
vib_car3_sideII_power_500_750_mean,0.0
vib_car3_sideII_power_0_250_max,0.0
vib_car4_sideII_total_power_max,0.0
vib_car4_sideII_total_power_mean,0.0
vib_car4_sideII_std_max,0.0
vib_car4_sideII_std_mean,0.0
vib_car4_sideII_rms_mean,0.0
vib_car4_sideI_power_500_750_max,0.0
vib_car4_sideI_power_500_750_mean,0.0
vib_car4_sideI_power_250_500_max,0.0
